"Kobe Julien","Arkansas St.",SB,31,63.4,101.6,22.6,44.6,49.7,6.2,12.8,9.6,15.7,93,129,0.721,89,188,0.473,34,126,0.27,2.7,2.8,41.1,Sr,6-6,8,1.50538,104.935,4.4,2025,66085,"Baton Rouge, LA",,0.84480003,74,147,15,41,0.5034,0.3659,9,10,0.9000,,98.5144,99.8312,3.17324,178.814,2.11254,-0.0304544,2.14299,1.03254,28.4438,-0.6376,1.67014,1.7500,3.5938,5.3438,1.5312,1.3750,0.7188,11.9062,"Wing G",7.99651
"Messiah Jones",Towson,CAA,32,43.3,110.9,14.9,45.4,50,12.4,13.1,11.1,18,28,40,0.7,40,81,0.494,3,17,0.176,2.1,2.6,40.8,Sr,6-6,25,0.707722,101.553,4.8,2025,66286,"Chicago, IL",,1.34611002,33,62,7,19,0.5323,0.3684,0,1,0.0000,,103.538,104.726,1.62611,99.1623,2.20609,0.274109,1.93198,-0.275418,17.5485,-1.38831,1.11289,2.0909,1.8485,3.9394,1.0606,0.7576,0.3030,3.7273,"Wing F",1.90295
"Chris Austin",Portland,WCC,29,69.4,110.3,18.2,51.8,56.04,5.7,7.6,11.9,12.8,64,84,0.762,84,163,0.515,22,63,0.349,0.4,1,37.2,Sr,6-4,5,1.8353,108.209,2.2,2025,66400,"Pasadena, CA",,1.34214388,54,92,30,71,0.5870,0.4225,8,8,1.0000,,120.104,118.749,1.29754,115.55,-1.51491,1.10885,-2.62376,-2.24706,28.9774,0.23496,-2.48202,1.3871,2.0000,3.3871,1.6452,0.5161,0.0968,9.9677,"Wing G",4.31127
"Ebrima Dibba","Cleveland St.",Horz,33,63.1,88.9,12.8,39.3,40.43,1.3,13.7,25,28.9,16,35,0.457,35,93,0.376,6,19,0.316,0.2,2.2,31.3,Sr,6-6,6,-1.03425,77.9721,2.3,2025,66458,"Stockholm, Sweden",,2.56600411,22,45,13,48,0.4889,0.2708,0,0,,,104.685,106.049,2.25387,135.704,-4.06886,-4.00119,-0.0676643,-3.85305,25.0286,-4.33087,0.477825,0.2857,2.7714,3.0571,3.8857,0.9714,0.0286,3.3714,"Scoring PG",1.37416
"Neftali Alvarez","Southern Miss",SB,29,67.1,97.2,22.1,46.7,50.74,2.1,8.6,25.8,20,69,100,0.69,90,177,0.508,20,80,0.25,0.9,2.5,38.9,Sr,6-2,12,0.878958,98.6121,2.2,2025,66465,"Catano, Puerto Rico",38.0,1.49997908,80,138,10,39,0.5797,0.2564,0,0,,,108.856,111.095,2.05827,140.347,-2.82778,-1.55003,-1.27775,-2.28393,28.6710,-1.71281,-0.571116,0.5161,2.1935,2.7097,3.5806,1.3548,0.2258,10.5806,"Scoring PG",5.35486
"Savion Lewis",Quinnipiac,MAAC,25,55.6,97.3,16.9,47.7,48.4,2.2,10.4,38.6,30,17,33,0.515,62,127,0.488,0,3,0,0.4,3.1,25.4,Sr,6-1,3,0.12388,91.0354,2.6,2025,66493,"Dix Hills, NY",,2.36234826,42,79,20,48,0.5316,0.4167,0,0,,,102.608,107.574,2.38684,129.71,-3.83583,-3.0531,-0.78273,-2.85161,28.5692,-3.06255,0.210941,0.5385,2.8846,3.4231,6.2692,1.5769,0.1154,5.5385,"Pure PG",0.238545
"CJ Fredrick",Cincinnati,B12,19,12.5,106.7,7.9,47.7,50.3,0,7.5,6.3,13.2,4,6,0.667,0,4,0,7,18,0.389,0.6,0.7,27.3,Sr,6-3,5,0.0776865,92.2085,1.1,2025,66496,"Cincinnati, OH",51.8,2.33312219,0,1,0,3,0.0000,0.0000,0,0,,,107.066,102.176,0.946687,22.1982,-0.899281,-1.60816,0.708876,-1.65801,9.2158,-2.57135,0.913346,0.0000,0.5789,0.5789,0.3684,0.1053,0.0526,1.3158,"Scoring PG",6.23086
"Grayson Carter","Texas Southern",SWAC,18,29.7,93.6,19,46,48.98,6.8,16.8,9.1,20.4,19,28,0.679,34,72,0.472,8,28,0.286,4.9,2.1,28,Sr,6-10,25,-0.0633244,88.8265,5.3,2025,66526,"Dallas, TX",53.2,0.83331878,23,38,11,34,0.6053,0.3235,0,0,,,98.369,104.736,1.79811,74.5932,-1.58509,-4.08698,2.50188,-3.00687,18.8619,-4.34307,1.3362,1.0952,3.0000,4.0952,0.9524,0.7143,0.8095,6.9048,"Stretch 4",4.52418
"Andrew Taylor",Stetson,ASun,2,3,71.4,14.3,16.7,20.1,3.3,15.1,18.9,0,1,2,0.5,0,2,0,1,7,0.143,0,0,22.2,Sr,6-3,11,-1.75986,61.9129,4.4,2025,66685,"Corbin, KY",2.4,4.00000000,0,1,0,1,0.0000,0.0000,0,0,,,121.456,127.26,0.285416,5.02838,-10.5121,-4.70217,-5.80988,-14.2392,18.2000,-8.2057,-6.03352,0.5000,2.5000,3.0000,2.0000,0.0000,0.0000,2.0000,"Scoring PG",11.1729
"Colby Rogers",Memphis,Amer,35,74.8,103.3,17.1,48.8,50.76,1.8,5.3,8.1,16,34,43,0.791,51,135,0.378,79,212,0.373,1.2,1.6,12.4,Sr,6-4,3,1.20049,101.34,3.2,2025,70246,"Covington, GA",,0.94231673,11,28,40,107,0.3929,0.3738,0,2,0.0000,,108.103,103.508,2.93566,152.736,0.103984,0.390428,-0.286444,-0.207748,30.2457,-0.442661,0.234912,0.4571,1.4857,1.9429,1.4000,0.8857,0.3143,10.6571,"Combo G",11.1714
